时间,点赞,评论
2021.12.19,0,BGM三连了
2021.12.19,0,我心目中的巨人永远是前三季，无论是剧情，画风，配乐，人设都是无可挑剔了，第四季看得实在是累，太现实主义，几乎完全照搬了现实中国家之间的那些矛盾冲突，看第四季的时候就断定这动漫绝对会烂尾，果不其然
2021.12.18,0,献出心脏[打call]
2021.12.03,1,塔塔开——！！
2021.12.17,0,巨人没有烂尾，期待1月9号！[打call]
2021.12.18,0,做的很好！多向你学习[星星眼][星星眼][星星眼][星星眼][星星眼]
2021.12.18,0,塔塔开!
2021.12.17,0,感觉上次做的挺好的呀[喜极而泣]
2021.12.18,0,有巨人就有我
2021.12.17,0,我还是要献出心脏的！！
2021.12.03,1,巨人是我无悔的选择[雾山五行_冲鸭]
2021.12.16,0,🌍🌎🌏💪
2021.12.16,0,在看到书中外面世界的那一刻，艾伦眼里有了星星
2021.12.16,0,[嗑瓜子]
2021.12.16,0,看一二季的时候我梦见的是我被巨人吃掉，看了第三季我梦见的是变成巨人[脸红]
2021.12.03,1,尤赫，永远的痛[大哭]
2021.12.03,1,跪求封面图
2021.12.16,0,最近又从新看了一遍巨人，真是无悔的青春啊
2021.12.16,0,很感动
2021.12.14,0,"兵长 杀死我们的女巨人最后怎么样了？
被阿尔敏爱着呢[吐]"
2021.12.14,0,为兵长献出心脏 塔塔开
2021.12.13,0,真不想巨人完结
2021.12.12,0,一模一样?
2021.12.12,0,up重发了？
2021.12.11,0,看完第三季就够了，最终季当个番外吧
2021.12.12,0,其实我觉得霸权社并不懂巨人。
2021.12.12,0,这可是青春啊
2021.12.12,0,我记得我看过
2021.12.10,0,可惜了，多好的剧
2021.12.12,0,抄的好像[藏狐]
2021.12.10,0,好棒
2021.12.10,0,这是我的青春
2021.12.11,0,来支持一下UP主[嗑瓜子]，您的视频我已看完[给心心]，希望您有空来看下我的这个视频[脱单doge]，可以的话花上您的两三分钟把视频看完，万分感谢，如果打扰到您，抱歉https://b23.tv/BV1Pg411w7g8
2021.12.10,0,只有我不看后面，巨人就是完美的。
2021.12.09,0,反观mappa的兵長砍猴，唉[辣眼睛]
2021.12.09,0,"1月9号,是我们最后的进击"
2021.12.08,0,塔塔开！
2021.12.08,0,巨人yyds！2022，献出心脏！
2021.12.08,0,喜欢就是喜欢
2021.12.10,0,好燃[doge]
2021.12.09,0,"我们和敌人的战斗还未停止
发动地鸣吧艾伦 我们的生命由自己决定 我们生来就是自由的"
2021.12.08,0,不看简介我以为是盗来的视频[笑哭]
2021.12.07,0,换成巨人里的音乐效果会更好。[奋斗][奋斗]加油！up
2021.12.07,0,无悔献出我的心脏！塔塔开！塔塔开！塔塔开！
2021.12.07,0,献出心脏！
2021.12.07,0,陪伴我青春的番
2021.12.06,0,希望mappa给力一点！！！
2021.12.06,0,想不到他的 他们的故事，这么快就要结束了。
2021.12.05,0,1.9我等着巨人！！[打call][打call][打call][打call]
2021.12.04,0,撒撒给有
2021.12.06,0,刚入坑一周，期待[保卫萝卜_哇]
2021.12.05,0,八年了[大哭]
2021.12.04,0,开口跪
2021.12.05,0,幸好我只是团长粉，泪目的几次也是因为团长的冲锋。还好团长第三季死了。这样就不用折磨了[tv_笑哭]
2021.12.05,0,做的真棒
2021.12.05,0,献出心脏吧！[微笑]
2021.12.04,0,自我推销啦，不好看不要赞啦[tv_点赞]（评论可删）
2021.12.05,0,很奇怪，死火海可以让我在遇见他们的时候有种青春逝去很怀念的味道，但是《进巨》完全没有这种感觉，当然，不是因为烂尾什么的，就单纯没有
2021.12.04,0,塔塔开！心脏撒撒给哟！
2021.12.04,0,心脏撒撒给哟——！!
2021.12.04,0,哎，曾经心目中动漫史最强，因为漫画被整吐了，跪求改结局
2021.12.04,0,一月九 再亿次献出心脏 再亿次塔塔开！
2021.12.04,0,2022年一月九日，最后一次献出心脏
2021.12.03,0,管他烂不烂尾，我永远爱巨人![打call]
2021.12.03,0,[点赞]
2021.12.03,0,BGM是什嘛[打call][打call][打call]
2021.12.03,0,话说这剪辑用过好多次了吧[滑稽]
2021.12.03,0,火钳刘明[tv_doge]
